Type;Group;MolWt;Exact;Leaving;C;H;O;N;S;Cl;I;P;Br
Leaving;HCl;36.4609;35.9767;---;0;1;0;0;0;1;0;0;0
Leaving;H2O;18.0153;18.0106;---;0;2;1;0;0;0;0;0;0
Other;Hplus;1.0079;1.0078;---;0;1;0;0;0;0;0;0;0
Leaving;~;-1.0079;-1.0078;---;0;-1;0;0;0;0;0;0;0
Leaving;HI;127.9124;127.9123;---;0;1;0;0;0;0;1;0;0
Modification;Ac;60.052;60.0211;H2O;2;4;2;0;0;0;0;0;0
C-terminal modification;CONH2;17.0305;17.0265;---;0;3;0;1;0;0;0;0;0
C-terminal modification;COOH;18.0153;18.0106;---;0;2;1;0;0;0;0;0;0
Other;PAA;105.1588;105.0248;H2O;2000;0;0;0;0;0;0;0;0
C-terminal modification;COSPAA;105.1588;105.0248;H2O;3;7;1;1;1;0;0;0;0
C-terminal modification;COSVAA;133.2119;133.0561;H2O;5;11;1;1;1;0;0;0;0
C-terminal modification;COSBzl;124.2034;124.0347;H2O;7;8;0;0;1;0;0;0;0
C-terminal modification;COSMESA;141.1893;140.968;H2O;2;5;3;0;2;0;0;0;0
C-terminal modification;COSPh;110.1768;110.019;H2O;6;6;3;0;0;0;0;0;0
C-terminal modification;COSEt;62.019;62.134;H2O;2;6;0;0;1;0;0;0;0
Other;NH2;17.0305;17.0265;H2O;0;3;0;1;0;0;0;0;0
Other;2H2O;36.0306;36.0212;---;0;4;2;0;0;0;0;0;0
Other;IAA;184.9637;184.9338;HI;2;4;1;1;0;0;1;0;0
Other;SCC;350.4094;350.1842;H2O;18;26;5;2;0;0;0;0;0
Other;BnSSu;224.2762;224.0507;H2O;11;12;3;0;1;0;0;0;0
Protecting Group;Alloc;120.5343;119.9978;HCl;4;5;2;0;0;1;0;0;0
Protecting Group;Fmoc;258.6996;258.0448;HCl;15;11;2;0;0;1;0;0;0
Protecting Group;Boc;136.5768;136.0291;HCl;5;9;2;0;0;1;0;0;0
Protecting Group;Bhoc;246.6889;246.0448;HCl;14;11;2;0;0;1;0;0;0
Protecting Group;Z;170.593;170.0135;HCl;8;7;2;0;0;1;0;0;0
Protecting Group;Cbz;170.593;170.0135;HCl;8;7;2;0;0;1;0;0;0
Protecting Group;Trt;278.7754;278.0862;HCl;19;15;0;0;0;1;0;0;0
Protecting Group;Mmt;308.8014;308.0968;HCl;20;17;1;0;0;1;0;0;0
Protecting Group;Mtt;292.802;292.1019;HCl;20;17;0;0;0;1;0;0;0
Protecting Group;tBu;74.1216;74.0732;H2O;4;10;1;0;0;0;0;0;0
Protecting Group;Bzl;108.1378;108.0575;H2O;7;8;1;0;0;0;0;0;0
Tag; Biotin;244.3106;244.0882;H2O;10;16;3;2;1;0;0;0;0
Other;NMe22;90.1674;90.1157;H2O;4;14;0;2;0;0;0;0;0
Protecting Group;PMB;156.6095;156.0342;HCl;8;9;1;0;0;1;0;0;0
Protecting Group;Tmob;216.6614;216.0553;HCl;10;13;3;0;0;1;0;0;0
Protecting Group;Pbf;288.7903;288.0587;HCl;13;17;3;0;1;1;0;0;0
Other;SEt;96.5791;95.9801;HCl;2;5;0;0;1;1;0;0;0
Other;SBu;124.6323;124.0114;HCl;4;9;0;0;1;1;0;0;0
Protecting Group;Dde;182.2164;182.0943;H2O;10;14;3;0;0;0;0;0;0
PNA;a;293.2819;293.1236;H2O;11;15;3;7;0;0;0;0;0
PNA;c;269.2572;269.1124;H2O;10;15;4;5;0;0;0;0;0
PNA;g;309.2813;309.1186;H2O;11;15;4;7;0;0;0;0;0
PNA;t;284.2685;284.1121;H2O;11;16;5;4;0;0;0;0;0
PNA;o;132.161;132.0899;H2O;5;12;2;2;0;0;0;0;0
PNA;Orn;132.161;132.0899;H2O;5;12;2;2;0;0;0;0;0
PNA;x;118.1344;118.0742;H2O;4;10;2;2;0;0;0;0;0
PNA;Aeg;118.1344;118.0742;H2O;4;10;2;2;0;0;0;0;0
PNA;Ael;189.2554;189.1477;H2O;8;19;2;3;0;0;0;0;0
PNA;Cysa;339.3735;339.1114;H2O;12;17;3;7;1;0;0;0;0
PNA;Cysc;315.3488;315.1001;H2O;11;17;4;5;1;0;0;0;0
PNA;Cysg;355.3729;355.1063;H2O;12;17;4;7;1;0;0;0;0
PNA;Cyst;330.3601;330.0998;H2O;12;18;5;4;1;0;0;0;0
PNA;Isocysa;339.3735;339.1114;H2O;12;17;3;7;1;0;0;0;0
PNA;Isocysc;315.3488;315.1001;H2O;11;17;4;5;1;0;0;0;0
PNA;Isocysg;355.3729;355.1063;H2O;12;17;4;7;1;0;0;0;0
PNA;Isocyst;330.3601;330.0998;H2O;12;18;5;4;1;0;0;0;0
PNA;Lysa;364.4029;364.1971;H2O;15;24;3;8;0;0;0;0;0
PNA;Lysc;340.3782;340.1859;H2O;14;24;4;6;0;0;0;0;0
PNA;Lysg;380.4023;380.1921;H2O;15;24;4;8;0;0;0;0;0
PNA;Lyst;355.3895;355.1856;H2O;15;25;5;5;0;0;0;0;0
Fluorophore;TO;349.4256;349.1005;H2O;20;17;2;2;1;0;0;0;0
Fluorophore;JO;334.3481;334.1186;H2O;19;16;3;3;0;0;0;0;0
Fluorophore;YO;333.36;333.1234;H2O;20;17;3;2;0;0;0;0;0
Fluorophore;LO;429.3098;428.0063;H2O;19;15;2;3;1;0;0;0;1
Fluorophore;MO;350.4137;350.0958;H2O;19;16;2;3;1;0;0;0;0
Fluorophore;BO;299.367;299.0849;H2O;16;15;2;2;1;0;0;0;0
Fluorophore;PO;283.3014;283.1078;H2O;16;15;3;2;0;0;0;0;0
Fluorophore;DNS;269.7472;269.0277;HCl;12;12;2;1;1;1;0;0;0
Fluorophore;Dansyl;269.7472;269.0277;HCl;12;12;2;1;1;1;0;0;0
Fluorophore;IAEDANS;434.2494;433.9797;HI;14;15;4;2;1;0;1;0;0
Fluorophore;Dabcyl;269.2985;269.1164;H2O;15;15;2;3;0;0;0;0;0
Fluorophore;Dabsyl;323.7979;323.0495;HCl;14;14;2;3;1;1;0;0;0
Fluorophore;DABCYL;269.2985;269.1164;H2O;15;15;2;3;0;0;0;0;0
Fluorophore;DABSYL;323.7979;323.0495;HCl;14;14;2;3;1;1;0;0;0
Fluorophore;TAMRA;430.4526;430.4526;H2O;25;22;5;2;0;0;0;0;0
Fluorophore;NBD;199.5514;198.9785;HCl;6;2;3;3;0;1;0;0;0
Fluorophore;EDANS;266.3162;266.0725;H2O;12;14;3;2;1;0;0;0;0
Fluorophore;FAM;376.3158;376.0583;H2O;21;12;7;0;0;0;0;0;0
Fluorophore;NIR667;626.8048;626.2814;H2O;37;42;5;2;1;0;0;0;0
Fluorophore;NIR664;626.8048;626.2814;H2O;37;42;5;2;1;0;0;0;0
Fluorophore;Pyrba;288.3398;288.115;H2O;20;16;2;0;0;0;0;0;0
Fluorophore;Pyb;288.3398;288.115;H2O;20;16;2;0;0;0;0;0;0
Fluorophore;ROX;534.6017;534.2155;H2O;33;30;5;2;0;0;0;0;0
Fluorophore;FITC;407.396;407.0464;H2O;21;13;6;1;1;0;0;0;0
Fluorophore;Pyrc;193.1595;193.0487;H2O;8;7;3;3;0;0;0;0;0
Fluorophore;DY590;719.8667;719.2335;H2O;37;41;8;3;2;0;0;0;0
Fluorophore;DY752;885.0758;884.2699;H2O;43;52;12;2;3;0;0;0;0
Fluorophore;NIR797;881.2185;880.3163;H2O;45;56;6;3;4;0;0;0;0
Fluorophore;Alexa594;722.7813;722.1604;H2O;35;34;11;2;2;0;0;0;0
Fluorophore;ITCC;695.8658;695.2466;H2O;36;43;8;2;2;0;0;0;0
Fluorophore;ICC;643.7912;643.2153;H2O;32;39;8;2;2;0;0;0;0
Other;AEEA;163.1717;163.0845;H2O;6;13;4;1;0;0;0;0;0
Other;PEG1;163.1717;163.0845;H2O;6;13;4;1;0;0;0;0;0
Other;PEG2;221.2509;221.1263;H2O;9;19;5;1;0;0;0;0;0
Other;AHA;131.1729;131.0946;H2O;6;13;2;1;0;0;0;0;0
Amino Acid;A;89.0932;89.0477;H2O;3;7;2;1;0;0;0;0;0
